,means,stds
108,-0.025132817,0.030234633
109,-0.054399039,0.041768279
110,0.019984528,0.029248216
111,-0.007655141,0.029824785
112,-0.029978128,0.030090169
113,-0.000382069,0.029039884
114,0.014312203,0.032720932
115,0.007694903,0.029190409
116,0.004935218,0.026413079
117,-0.019478547,0.03602003
118,0.017024499,0.031579061
119,-0.025387101,0.031007069
120,-0.016937056,0.032883973
121,-0.017849041,0.031281057
122,0.005697211,0.033341894
123,-0.011454283,0.031635339
124,-0.023932449,0.032390868
125,0.007844716,0.028348497
126,-0.002479457,0.028818609
127,0.011279985,0.030408104
128,0.030403751,0.028570567
129,0.00528591,0.029805083
130,0.026178772,0.025726139
131,0.006861146,0.029880871
132,-0.013524438,0.028203977
133,-0.016734113,0.030687721
134,0.001764898,0.036698872
135,-0.029947275,0.035410455
136,0.011424671,0.029356268
137,-8.70E-05,0.028250532
138,-0.007227514,0.02712073
139,-0.00545094,0.025897344
140,0.030904452,0.040273102
141,-0.032911459,0.031921515
142,-0.005820695,0.031426129
143,0.000445419,0.027858041
144,-0.026486007,0.050904104
145,0.002168594,0.026773204
146,-0.001183198,0.03918786
147,-0.006836368,0.028901785
148,0.008825755,0.073898947
149,-0.000246301,0.0357767
150,0.010215268,0.030376549
151,-0.020070865,0.035141328
152,-0.0032512,0.030575031
153,0.0070396,0.029062727
154,0.005891174,0.028671669
155,-0.00934744,0.028729012
156,0.013932495,0.031755647
157,0.001158859,0.031962124
158,-0.001927098,0.042978758
159,-0.012469894,0.030679612
160,-0.001218104,0.026063435
161,-0.004488149,0.027769336
162,-0.021617596,0.037988522
163,-0.013553529,0.030757035
164,-0.025390638,0.029871614
165,0.015698679,0.033172984
166,0.01766242,0.033670605
167,0.021852606,0.048687046
168,-0.011257222,0.032247443
169,0.015069496,0.029490604
170,0.010106078,0.037216354
171,-0.010319788,0.027266042
172,0.021305814,0.03087051
173,0.041501954,0.043822347
174,0.01441664,0.025833104
175,0.010438803,0.039352719
176,0.000605893,0.032637166
177,0.005454529,0.03019004
178,-0.007026116,0.030584708
179,-0.014157445,0.028037703
180,-0.000424208,0.030288101
181,0.02089376,0.035455348
182,-0.019963618,0.028907902
183,-0.016466677,0.031140589
184,0.020450077,0.029525874
185,-0.015917445,0.028312317
186,0.007638376,0.028689724
187,-0.001538525,0.033743763
188,-0.045893208,0.038153827
189,-0.010295477,0.033590477
190,0.056179106,0.045266921
191,0.003366688,0.030776991
192,-0.00847092,0.029990853
193,0.036477039,0.034224777
194,0.005303855,0.028377511
195,0.030322265,0.032935818
196,-0.021756077,0.027130381
197,0.010885054,0.027930247
198,0.011816893,0.029911541
199,-0.00905559,0.027907342
200,-0.050508598,0.037923105
201,0.009444275,0.032321552
202,-0.015726895,0.038972983
203,-0.051792729,0.048586503
204,0.013498492,0.032430082
205,-0.026288058,0.034400482
206,0.08573661,0.078647541
207,-0.008812481,0.031338226
208,0.001878236,0.032406899
209,0.011758268,0.029403264
210,-0.003206868,0.038254081
211,-0.030862248,0.030150616
212,-0.007337406,0.029517517
213,0.005924139,0.027649449
214,0.00355116,0.031325535
215,0.002812955,0.027996535
216,0.026425677,0.026619278
217,-0.038409823,0.029993702
218,-0.013432531,0.030848344
219,-0.006124037,0.035188065
220,0.010828139,0.0328144
221,-0.02595364,0.034846226
222,0.01662785,0.030724842
223,0.024959999,0.032838881
224,0.01481076,0.028854755
225,0.009745064,0.026229758
226,-0.022937053,0.032218584
227,0.021836568,0.033555133
228,0.012903514,0.032976144
229,-0.017138398,0.034780658
230,-0.002387223,0.029364931
231,0.02429589,0.041802218
232,-0.004495642,0.036028227
233,0.010084409,0.027700526
234,-0.007896334,0.036612593
235,-0.019040207,0.03106096
236,-0.022860437,0.029529053
237,0.002007142,0.028558004
238,-0.005703966,0.032152573
239,0.013774162,0.030132788
240,0.008984217,0.03574143
241,0.023488954,0.03210771
242,-0.016214971,0.039375429
243,-0.021705147,0.032063664
244,-0.024975518,0.028644829
245,0.017998711,0.028157272
246,-0.010005092,0.033728884
247,-0.001795048,0.030303482
248,0.019034153,0.03316725
249,-0.022209708,0.032241466
250,-0.014046501,0.028309065
251,-0.007087796,0.035093678
252,-0.012498135,0.029130445
253,0.009976689,0.036490617
254,0.00217456,0.030208662
255,0.008096629,0.030513973
256,0.050486169,0.036526271
257,0.008658442,0.029089148
258,-0.009467771,0.029470217
259,0.005763573,0.028346451
260,-0.029819875,0.040350538
261,-0.022551319,0.027899233
262,0.000170687,0.038840051
263,0.008534343,0.049598242
264,0.012589668,0.029728561
265,0.003714994,0.029794212
266,-0.012731418,0.030209532
267,-0.006797159,0.029995325
268,-0.001395009,0.027791282
269,-0.027417602,0.031225973
270,-0.01043108,0.023830846
271,-0.013804309,0.036205396
272,-0.018784677,0.029341938
273,-0.113801847,0.010739118
274,0.01172245,0.02847773
275,-0.008527742,0.03471886
